Job-Title,Agency,Post-Level,Location,Deadline,Category,Job-Link
Gender and Climate Change/Disaster Risk Reduction Analyst - SC/SB4 (equivalent to NOB),UNWomen,SB-4,"Ha Noi,  VIET NAM                      ","Mar-15-24
",External,cj_view_job.cfm?cur_job_id=115506
* Collective Action Platform Analyst,UNDP,NPSA-8,"Honiara, Solomon Islands","Mar-15-24
",External,https://estm.fa.em2.oraclecloud.com/hcmUI/CandidateExperience/en/sites/CX_1/requisitions/job/16715
* Project Engineer,UNDP,NPSA-9,"Port-Vila, Vanuatu","Mar-15-24
",External,https://estm.fa.em2.oraclecloud.com/hcmUI/CandidateExperience/en/sites/CX_1/requisitions/job/16363
* Institutional Development and Capacity Building Project Manager,UNDP,NPSA-9,"Chisinau, Moldova","Mar-15-24
",External,https://estm.fa.em2.oraclecloud.com/hcmUI/CandidateExperience/en/sites/CX_1/requisitions/job/16712
* Project Finance Associate,UNDP,NPSA-7,"Chisinau, Moldova","Mar-15-24
",External,https://estm.fa.em2.oraclecloud.com/hcmUI/CandidateExperience/en/sites/CX_1/requisitions/job/16636
"* Project Analyst, NPSA-9, DS-Kyiv, (National position)",UNDP,NPSA-9,"Kyiv, Ukraine","Mar-15-24
",External,https://estm.fa.em2.oraclecloud.com/hcmUI/CandidateExperience/en/sites/CX_1/requisitions/job/16713
Gender in Humanitarian and DRR Coordination Analyst (For Filipino National Only),UNWomen,SC-9,"Manila,  PHILIPPINES                   ","Mar-17-24
",External,cj_view_job.cfm?cur_job_id=115552
* Warehouse Associate - ACWA,UNDP,NPSA-6,"Majuro, Marshall Islands","Mar-18-24
",External,https://estm.fa.em2.oraclecloud.com/hcmUI/CandidateExperience/en/sites/CX_1/requisitions/job/16391
* Project Associate (ROSTER NPSA-6) - UNDP Moldova Projects,UNDP,NB3,"Chisinau, Moldova","Mar-5-24
",External,https://estm.fa.em2.oraclecloud.com/hcmUI/CandidateExperience/en/sites/CX_1/requisitions/job/16067
* Programme Associate (2 posts),UNDP,G6,"Dushanbe, Tajikistan","Mar-6-24
",External,https://estm.fa.em2.oraclecloud.com/hcmUI/CandidateExperience/en/sites/CX_1/requisitions/job/16531
* Driver,UNDP,NPSA-2,"Harare, Zimbabwe","Mar-6-24
",External,https://estm.fa.em2.oraclecloud.com/hcmUI/CandidateExperience/en/sites/CX_1/requisitions/job/16568
* Specialiste de Projets,UNDP,NPSA-10,"Libreville, Gabon","Mar-6-24
",External,https://estm.fa.em2.oraclecloud.com/hcmUI/CandidateExperience/en/sites/CX_1/requisitions/job/16702
* Project Associate (NPSA-6) - UNDP Moldova/Enhancing human security in Moldova through agri-food resilience to intensifying external and climate shocks,UNDP,NPSA-6,"Chisinau, Moldova","Mar-7-24
",External,https://estm.fa.em2.oraclecloud.com/hcmUI/CandidateExperience/en/sites/CX_1/requisitions/job/16127
* Civil Engineer (Analyst),UNDP,NPSA-8,"Aden, Yemen","Mar-9-24
",External,https://estm.fa.em2.oraclecloud.com/hcmUI/CandidateExperience/en/sites/CX_1/requisitions/job/16638
"* Programme Assistant, UNODC in Astana",UNDP,SB2,Kazakhstan,"Mar-10-24
",External,https://estm.fa.em2.oraclecloud.com/hcmUI/CandidateExperience/en/sites/CX_1/requisitions/job/16592
* Regional Specialist,UNDP,NPSA-10,"Islamabad, Pakistan","Mar-12-24
",External,https://estm.fa.em2.oraclecloud.com/hcmUI/CandidateExperience/en/sites/CX_1/requisitions/job/16641
"* Coordinateur(trice) de Projet, Expert en Renforcement de Capacités",UNDP,NPSA-9,"Libreville, Gabon","Mar-12-24
",External,https://estm.fa.em2.oraclecloud.com/hcmUI/CandidateExperience/en/sites/CX_1/requisitions/job/16669
* Project Associate (ROSTER NPSA-7) - UNDP Moldova Projects,UNDP,NB3,"Chisinau, Moldova","Mar-14-24
",External,https://estm.fa.em2.oraclecloud.com/hcmUI/CandidateExperience/en/sites/CX_1/requisitions/job/16276
* Chargé(e) de la Coordination Civilo-Militaire - UNOCHA - Staff National uniquement,UNDP,NOB,"Ouagadougou, Burkina Faso","Mar-15-24
",External,https://estm.fa.em2.oraclecloud.com/hcmUI/CandidateExperience/en/sites/CX_1/requisitions/job/16375
* Security Operations Centre Assistant,UNDP,NB2,"Ankara, Türkiye","Mar-17-24
",External,https://estm.fa.em2.oraclecloud.com/hcmUI/CandidateExperience/en/sites/CX_1/requisitions/job/16726
* Stagiaire en Communication,UNDP,,"Bamako, Mali","Mar-17-24
",External,https://estm.fa.em2.oraclecloud.com/hcmUI/CandidateExperience/en/sites/CX_1/requisitions/job/16732
* Analyste Programme Communautaire TB et VIH,UNDP,NPSA-9,"Brazzaville, Congo","Mar-4-24
",External,https://estm.fa.em2.oraclecloud.com/hcmUI/CandidateExperience/en/sites/CX_1/requisitions/job/16305
* Analyste Programme Communautaire TB et VIH,UNDP,NPSA-9,"Brazzaville, Congo","Mar-4-24
",External,https://estm.fa.em2.oraclecloud.com/hcmUI/CandidateExperience/en/sites/CX_1/requisitions/job/16305
"* Laboratory Associate (For Local Residents in Tajikistan, NPSA-6)",UNDP,NB3,"Dushanbe, Tajikistan","Mar-6-24
",External,https://estm.fa.em2.oraclecloud.com/hcmUI/CandidateExperience/en/sites/CX_1/requisitions/job/16530
* Spécialiste Choléra,UNDP,NPSA-10,"Port-au-Prince, Haiti","Mar-6-24
",External,https://estm.fa.em2.oraclecloud.com/hcmUI/CandidateExperience/en/sites/CX_1/requisitions/job/16371
* Civil Engineering Specialist,UNDP,NPSA-10,"Pemba, Mozambique","Mar-6-24
",External,https://estm.fa.em2.oraclecloud.com/hcmUI/CandidateExperience/en/sites/CX_1/requisitions/job/16495
* Programme Coordinator,UNDP,NPSA-10,"La Paz, Bolivia","Mar-7-24
",External,https://estm.fa.em2.oraclecloud.com/hcmUI/CandidateExperience/en/sites/CX_1/requisitions/job/16574
* Medical Laboratory Technologist Assistant,UNDP,NPSA-5,"Hargeisa, Somalia","Mar-7-24
",External,https://estm.fa.em2.oraclecloud.com/hcmUI/CandidateExperience/en/sites/CX_1/requisitions/job/16106
* Communications Assistant for SMILE Project,UNDP,NPSA-5,"Jakarta Pusat, Indonesia","Mar-8-24
",External,https://estm.fa.em2.oraclecloud.com/hcmUI/CandidateExperience/en/sites/CX_1/requisitions/job/16577
WHO Field Information Officer,Other UN Agencies,Other,"East Jerusalem,  PALESTINIAN TERRITORIES","Mar-10-24
",External,cj_view_job.cfm?cur_job_id=115519
WHO Field Information Officer,Other UN Agencies,Other,"Gaza,  PALESTINIAN TERRITORIES","Mar-10-24
",External,cj_view_job.cfm?cur_job_id=115520
WHO Project Coordinator,Other UN Agencies,Other,"East Jerusalem,  PALESTINIAN TERRITORIES","Mar-10-24
",External,cj_view_job.cfm?cur_job_id=115521
* Project Associate for SMILE  (Duty Station: Ambon/Maluku - Indonesia),UNDP,NPSA-7,Indonesia,"Mar-13-24
",External,https://estm.fa.em2.oraclecloud.com/hcmUI/CandidateExperience/en/sites/CX_1/requisitions/job/16659
* IT Network and Infrastructure Assistant BGSI,UNDP,,"Jakarta Pusat, Indonesia","Mar-13-24
",External,https://estm.fa.em2.oraclecloud.com/hcmUI/CandidateExperience/en/sites/CX_1/requisitions/job/16658
* Provincial Assistant,UNDP,NPSA-5,"Yogyakarta, Indonesia","Mar-13-24
",External,https://estm.fa.em2.oraclecloud.com/hcmUI/CandidateExperience/en/sites/CX_1/requisitions/job/16662
* GF Programme Specialist (Nationals Only),UNDP,NOC,"Teheran, Iran, Islamic Republic of","Mar-18-24
",External,https://estm.fa.em2.oraclecloud.com/hcmUI/CandidateExperience/en/sites/CX_1/requisitions/job/16751
* Technical Officer (Information and knowledge management),UNDP,P2,"Geneve, Switzerland","Mar-26-24
",External,https://estm.fa.em2.oraclecloud.com/hcmUI/CandidateExperience/en/sites/CX_1/requisitions/job/16545
"Programme Associate, Cox's Bazar(Local Post for Bangladesh Nationals and Applicants with Valid Work Permit)",UNWomen,SB-3,"Cox's Bazar,  BANGLADESH                    ","Mar-4-24
",External,cj_view_job.cfm?cur_job_id=115424
Partnerships and Resource Mobilization International Consultant,UNWomen,International Consultant,"Homebased,  UNITED STATES OF AMERICA      ","Mar-4-24
",External,cj_view_job.cfm?cur_job_id=115500
Spécialiste de la localisation du genre dans l'action humanitaire,UNWomen,SC-8,"Goma,  CONGO, DEM. REPUBLIC          ","Mar-4-24
",External,cj_view_job.cfm?cur_job_id=115378
International Consultant to support the preparation of SN of UN Women DRC Strategic Note 2025-2029,UNWomen,International Consultant,"Kinshasa,  CONGO, DEM. REPUBLIC          ","Mar-4-24
",External,cj_view_job.cfm?cur_job_id=115383
National Consultant- Facilitating Training on Gende in Humanitarian Action and Protection from Sexual Exploitation and Abuse (PSEA),UNWomen,National Consultant,"Addis Ababa,  ETHIOPIA                      ","Mar-5-24
",External,cj_view_job.cfm?cur_job_id=115496
Gender Equality Specialist to the UN Resident Coordinator,UNWomen,P-4,"Libreville,  GABON                         ","Mar-5-24
",External,cj_view_job.cfm?cur_job_id=115498
National Consultant – Training Coordinator on Mentoring in the Workplace,UNWomen,National Consultant,"Cairo,  EGYPT                         ","Mar-5-24
",External,cj_view_job.cfm?cur_job_id=115430
UN Women:  Programme Analyst,UNWomen,P-2,"New York,  UNITED STATES OF AMERICA      ","Mar-5-24
",External,cj_view_job.cfm?cur_job_id=115431
Re-advertisement -Finance Associate (Sudanese Nationals ONLY- Candidates who previously applied need not re-apply),UNWomen,GS-6,"Port Sudan,  SUDAN                         ","Mar-5-24
",External,cj_view_job.cfm?cur_job_id=115438
Monitoring and Evaluation Specialist,UNWomen,International Consultant,Home-based,"Mar-5-24
",External,cj_view_job.cfm?cur_job_id=115511
Programme Management Specialist,UNWomen,NO-D,"Kyiv,  UKRAINE                       ","Mar-5-24
",External,cj_view_job.cfm?cur_job_id=115460
ONUMUJERES/ECU/PS/24-002 Técnica Especialista Nacional de la Iniciativa Spotlight (IS) 2.0 de ONU Mujeres,UNWomen,SB-3,"Quito,  ECUADOR                       ","Mar-5-24
",External,cj_view_job.cfm?cur_job_id=115448
ONUMUJERES/ECU/PS/24-003 Coordinador/a Programa Iniciativa Spotlight Ecuador 2.0,UNWomen,SB-4,"Quito,  ECUADOR                       ","Mar-5-24
",External,cj_view_job.cfm?cur_job_id=115450
Programme Associate - National ONLY,UNWomen,SC-7,"Beirut,  LEBANON                       ","Mar-6-24
",External,cj_view_job.cfm?cur_job_id=115451
Programme Analyst (Local post for Nationals of Türkiye),UNWomen,NO-A,"Istanbul,  TURKEY                        ","Mar-6-24
",External,cj_view_job.cfm?cur_job_id=115442
Content Editor (Homebased),UNWomen,International Consultant,"Bridgetown,  BARBADOS                      ","Mar-6-24
",External,cj_view_job.cfm?cur_job_id=115463
Consultant-e pour l’analyse diagnostique des grands défis et opportunités au niveau de chaque Unité dans la perspective de la nouvelle Note Stratégique 2025-2029 d’ONU Femmes Mali,UNWomen,National Consultant,"Bamako,  MALI                          ","Mar-6-24
",External,cj_view_job.cfm?cur_job_id=115518
"National Consultant - Monitoring, Evaluation, Research and Learning (MERL) Analyst",UNWomen,National Consultant,"Cairo,  EGYPT                         ","Mar-7-24
",External,cj_view_job.cfm?cur_job_id=115458
National Consultant on Gender Responsive Budgeting and Public Finance Management (Retainer),UNWomen,Other,"Tirana,  ALBANIA                       ","Mar-7-24
",External,cj_view_job.cfm?cur_job_id=115469
Programme Specialist – Regional Executive Office,UNWomen,P-3,"Cairo,  EGYPT                         ","Mar-7-24
",External,cj_view_job.cfm?cur_job_id=115439
Consultant to Support Business Coaching and Economic Empowerment Activities for Indigenous and Tribal Communities in Suriname (Homebased),UNWomen,International Consultant,"Bridgetown,  BARBADOS                      ","Mar-8-24
",External,cj_view_job.cfm?cur_job_id=115474
Consultant To Support Economic Livelihood Programmes for Indigenous and Tribal communities in Suriname (Homebased),UNWomen,International Consultant,"Bridgetown,  BARBADOS                      ","Mar-8-24
",External,cj_view_job.cfm?cur_job_id=115475
Event Manager Consultant (Retainer),UNWomen,International Consultant,"Bridgetown,  BARBADOS                      ","Mar-8-24
",External,cj_view_job.cfm?cur_job_id=115476
Administrative Associate,UNWomen,GS-6,"Harare,  ZIMBABWE                      ","Mar-8-24
",External,cj_view_job.cfm?cur_job_id=115453
Regional Strategic Planning Specialist,UNWomen,P-4,"Dakar,  SENEGAL                       ","Mar-8-24
",External,cj_view_job.cfm?cur_job_id=115459
Event Manager Consultant (Homebased),UNWomen,International Consultant,"Bridgetown,  BARBADOS                      ","Mar-8-24
",External,cj_view_job.cfm?cur_job_id=115465
Partnership for Peace Consultant (Homebased),UNWomen,International Consultant,"Bridgetown,  BARBADOS                      ","Mar-8-24
",External,cj_view_job.cfm?cur_job_id=115468
Gender Protocol Consultant (Homebased),UNWomen,International Consultant,"Bridgetown,  BARBADOS                      ","Mar-8-24
",External,cj_view_job.cfm?cur_job_id=115464
Consultant To Develop SIDS Briefs (Homebased),UNWomen,International Consultant,"Bridgetown,  BARBADOS                      ","Mar-8-24
",External,cj_view_job.cfm?cur_job_id=115471
Consultoría Internacional para facilitar la implementación de la Matriz de indicadores del Equipo País sobre Igualdad de Género y Empoderamiento de las Mujeres (UNCT SWAP Gender Equality Scorecard Assessment) Hibrido,UNWomen,International Consultant,"Ciudad de Panamá,  PANAMA                        ","Mar-8-24
",External,cj_view_job.cfm?cur_job_id=115540
"Programme Analyst, Humanitarian Action",UNWomen,P-2,"Khartoum,  SUDAN                         ","Mar-8-24
",External,cj_view_job.cfm?cur_job_id=115545
Strategic Planning and Coordination Analyst (For nationals of Philippines only),UNWomen,SC-9,"Manila,  PHILIPPINES                   ","Mar-8-24
",External,cj_view_job.cfm?cur_job_id=115480
Ending Violence against Women Consultant,UNWomen,International Consultant,Home based,"Mar-8-24
",External,cj_view_job.cfm?cur_job_id=115489
"Country Representative, Myanmar",UNWomen,P-5,"Yangon,  MYANMAR                       ","Mar-8-24
",External,cj_view_job.cfm?cur_job_id=115418
"IC/SSA Consultant - Evaluation Support (x2 Positions) (Open to Fiji, Samoa, Solomon Islands and Vanuatu Nationals) - (Re-Advertised)",UNWomen,National Consultant,"Home-Based / Remote Working,  FIJI                          ","Mar-8-24
",External,cj_view_job.cfm?cur_job_id=115397
Chauffeur projet Humanitaire,UNWomen,SB-1,"ABIDJAN,  COTE d'IVOIRE                 ","Mar-9-24
",External,cj_view_job.cfm?cur_job_id=115495
Expert-e humanitaire,UNWomen,SB-4,"ABIDJAN,  COTE d'IVOIRE                 ","Mar-9-24
",External,cj_view_job.cfm?cur_job_id=115494
Associé (e) aux Ressources Humaines,UNWomen,GS-6,"Bamako, Mali,  MALI                          ","Mar-10-24
",External,cj_view_job.cfm?cur_job_id=115485
National consultant on strategic advisory on Gender-Responsive Practices in Public Finance Management,UNWomen,National Consultant,CHISINAU,"Mar-10-24
",External,cj_view_job.cfm?cur_job_id=115497
International Consultant – Gender in Humanitarian Action programming  (Retainer),UNWomen,International Consultant,"Home based (with travel to Bangladesh as required),  BANGLADESH                    ","Mar-10-24
",External,cj_view_job.cfm?cur_job_id=115490
Private Sector Engagement and Innovative Financing Consultant,UNWomen,International Consultant,"Office based, in Dakar, Senegal or Abidjan, Cote d’Ivoire, with at least 50% of time traveling outside the duty station","Mar-10-24
",External,cj_view_job.cfm?cur_job_id=115532
"Programme Associate – Programme Management Support, Communications and Advocacy",UNWomen,GS-7,"Kabul with travel to Provinces,  AFGHANISTAN                   ","Mar-10-24
",External,cj_view_job.cfm?cur_job_id=115455
"Programme Officer, Thailand Country Programme (for Thai National Only)",UNWomen,SC-8,"Bangkok,  THAILAND                      ","Mar-10-24
",External,cj_view_job.cfm?cur_job_id=115478
International Environmental Safeguards Specialist,UNWomen,International Consultant,"Juba,  SOUTH SUDAN","Mar-11-24
",External,cj_view_job.cfm?cur_job_id=115425
International Social Safeguards Specialist,UNWomen,International Consultant,"Juba,  SOUTH SUDAN","Mar-11-24
",External,cj_view_job.cfm?cur_job_id=115426
Operations Intern (multiple positions),UNWomen,Intern,"Abuja,  NIGERIA                       ","Mar-11-24
",External,cj_view_job.cfm?cur_job_id=115549
Consultant/e pour documenter l’expérience des femmes dans les processus de transition politiques en Afrique de l’Ouest et du centre,UNWomen,International Consultant,Home based,"Mar-11-24
",External,cj_view_job.cfm?cur_job_id=115547
Consultant - Event and Logistics UN Women Africa Communications Retreat,UNWomen,National Consultant,"Pretoria,  SOUTH AFRICA                  ","Mar-11-24
",External,cj_view_job.cfm?cur_job_id=115550
"Programme Specialist, HA/EVAW",UNWomen,International Consultant,"Geneva,  SWITZERLAND                   ","Mar-11-24
",External,cj_view_job.cfm?cur_job_id=115482
"Consultoría Local: Apoyo administrativo al proyecto Liderazgo, Empoderamiento, Acceso y Protección de las mujeres (LEAP) en la crisis de movilidad humana en Centroamérica",UNWomen,National Consultant,"Panama,  PANAMA                        ","Mar-11-24
",External,cj_view_job.cfm?cur_job_id=115529
"Consultoría Local: Especialista en Liderazgo, Empoderamiento, Acceso y Protección de las mujeres en movilidad humana en Panamá",UNWomen,National Consultant,"Panama,  PANAMA                        ","Mar-11-24
",External,cj_view_job.cfm?cur_job_id=115530
"Programme Analyst, Women Increased Leadership for Resilient and Peaceful Societies (Local Post for Nationals of Türkiye)",UNWomen,NO-A,"Istanbul,  TURKEY                        ","Mar-12-24
",External,cj_view_job.cfm?cur_job_id=115508
Regional Coordination Specialist,UNWomen,P-4,"Dakar,  SENEGAL                       ","Mar-12-24
",External,cj_view_job.cfm?cur_job_id=115499
National Consultant on Gender Responsible Recovery for the Ministry of Social Policy of Ukraine,UNWomen,National Consultant,"Kyiv,  UKRAINE                       ","Mar-12-24
",External,cj_view_job.cfm?cur_job_id=115242
UN Women:  Policy Specialist – Prevention of Violence against Women and Girls,UNWomen,P-4,"Nairobi,  KENYA                         ","Mar-12-24
",External,cj_view_job.cfm?cur_job_id=115433
UN Women: Information Communication Technology (ICT) Associate - (Re-Advertised),UNWomen,GS-7,"New York,  UNITED STATES OF AMERICA      ","Mar-12-24
",External,cj_view_job.cfm?cur_job_id=115151
"UN Women Chief, Financial Reporting",UNWomen,P-5,"New York,  UNITED STATES OF AMERICA      ","Mar-13-24
",External,cj_view_job.cfm?cur_job_id=115462
Communications Associate/SB3.5,UNWomen,SB-3,"CHISINAU,  MOLDOVA                       ","Mar-13-24
",External,cj_view_job.cfm?cur_job_id=115514
"Administrative Assistant, Gender Equality for Georgia (GG4G), United Nations Entity for Gender Equality and Empowerment of Women (UN Women)",UNWomen,SB-3,"Tbilisi,  GEORGIA                       ","Mar-13-24
",External,cj_view_job.cfm?cur_job_id=115501
UN Women:  Programme Analyst,UNWomen,P-2,"Geneva,  SWITZERLAND                   ","Mar-13-24
",External,cj_view_job.cfm?cur_job_id=115503
* Gender Specialist,UNDP,IPSA-10,"Bridgetown, Barbados","Mar-13-24
",External,https://estm.fa.em2.oraclecloud.com/hcmUI/CandidateExperience/en/sites/CX_1/requisitions/job/16652
"National Programme Coordinator, Women's Resilience to Disasters / WRD (Open to Fiji Nationals Only)",UNWomen,SB-4,"Suva,  FIJI                          ","Mar-14-24
",External,cj_view_job.cfm?cur_job_id=115531
UN Women:  Policy Specialist,UNWomen,P-4,"New York,  UNITED STATES OF AMERICA      ","Mar-14-24
",External,cj_view_job.cfm?cur_job_id=115394
National Consultant – Local Elections Analysis - Local post for Nationals,UNWomen,National Consultant,"Home - based,  TURKEY                        ","Mar-14-24
",External,cj_view_job.cfm?cur_job_id=115534
"UN Women:  Communications & Outreach Analyst, Women’s Peace and Humanitarian Fund",UNWomen,P-2,"New York,  UNITED STATES OF AMERICA      ","Mar-14-24
",External,cj_view_job.cfm?cur_job_id=115526
National Consultant / Legal Expert,UNWomen,National Consultant,"Tbilisi,  GEORGIA                       ","Mar-14-24
",External,cj_view_job.cfm?cur_job_id=115515
Human Resources Assistant,UNWomen,SB-3,"Kabul with travel to Provinces,  AFGHANISTAN                   ","Mar-14-24
",External,cj_view_job.cfm?cur_job_id=115491
Monitoring and Reporting Analyst,UNWomen,P-2,"Addis Ababa,  ETHIOPIA                      ","Mar-15-24
",External,cj_view_job.cfm?cur_job_id=115492
"National Consultant: Monitoring, Coordination, and Knowledge-sharing Facilitation for GBV Prevention (T4E)",UNWomen,National Consultant,"Dili (Timor-Leste), with possible travel in the municipalities,  Timor Leste","Mar-15-24
",External,cj_view_job.cfm?cur_job_id=115542
Ending Violence against Women (Senior) Technical Advisor,UNWomen,International Consultant,Home-based,"Mar-15-24
",External,cj_view_job.cfm?cur_job_id=115551
Head of Communications (Local Post for Indian Nationals and Applicants with Valid Work Permit),UNWomen,SB-5,"New Delhi,  INDIA                         ","Mar-15-24
",External,cj_view_job.cfm?cur_job_id=115535
Programme Associate,UNWomen,GS-6,"Amman,  JORDAN                        ","Mar-15-24
",External,cj_view_job.cfm?cur_job_id=115539
Finance Associate,UNWomen,GS-7,"Kabul with travel to Provinces,  AFGHANISTAN                   ","Mar-15-24
",External,cj_view_job.cfm?cur_job_id=115505
Gender in Humanitarian Action (GiHA) Coordination and Access Specialist,UNWomen,P-4,"Kabul,  AFGHANISTAN                   ","Mar-15-24
",External,cj_view_job.cfm?cur_job_id=115517
Finance Associate (G6),UNWomen,GS-6,"CHISINAU,  MOLDOVA                       ","Mar-15-24
",External,cj_view_job.cfm?cur_job_id=115546
* Call for Applications - Ending Violence Against Women and Girls Roster of Experts,UNWomen,,Multiple,"Mar-15-24
",External,https://estm.fa.em2.oraclecloud.com/hcmUI/CandidateExperience/en/sites/CX_1001/requisitions/job/11234
Gender in Humanitarian and DRR Coordination Analyst (For Filipino National Only),UNWomen,SC-9,"Manila,  PHILIPPINES                   ","Mar-17-24
",External,cj_view_job.cfm?cur_job_id=115552
Senior Consultant (Team Leader) on Response to Violence against Women,UNWomen,International Consultant,"Home - Based, Bangkok,  THAILAND                      ","Mar-18-24
",External,cj_view_job.cfm?cur_job_id=115543
UN Women: Systems Development Specialist (ERP and Data Management),UNWomen,P-3,"New York,  UNITED STATES OF AMERICA      ","Mar-20-24
",External,cj_view_job.cfm?cur_job_id=115527
UN Women: Policy and Advocacy Specialist,UNWomen,P-4,"New York,  UNITED STATES OF AMERICA      ","Mar-20-24
",External,cj_view_job.cfm?cur_job_id=115528
"Governance, Peace and Security Technical Specialist",UNWomen,P-3,"Port Moresby,  PAPUA NEW GUINEA              ","Mar-20-24
",External,cj_view_job.cfm?cur_job_id=115555
Procurement Analyste,UNWomen,SC-9,"Kinshasa,  CONGO, DEM. REPUBLIC          ","Mar-21-24
",External,cj_view_job.cfm?cur_job_id=115556
National Feminist Economist/Gender and Economics Policy Specialist,UNWomen,NO-C,"ABIDJAN,  COTE d'IVOIRE                 ","Nov-24-24
",External,cj_view_job.cfm?cur_job_id=114647
* Analista técnico de coordenação de projetos de Direitos Humanos (Home based),UNDP,NPSA-8,"Brasilia, Brazil","Mar-4-24
",External,https://estm.fa.em2.oraclecloud.com/hcmUI/CandidateExperience/en/sites/CX_1/requisitions/job/16490
* Analista (Coordenador) de projetos de Direitos Humanos (Home based),UNDP,NPSA-9,"Brasilia, Brazil","Mar-4-24
",External,https://estm.fa.em2.oraclecloud.com/hcmUI/CandidateExperience/en/sites/CX_1/requisitions/job/16488
* Head - Oversight and Support Team,UNDP,P4,"Sana'a, Yemen","Mar-4-24
",External,https://estm.fa.em2.oraclecloud.com/hcmUI/CandidateExperience/en/sites/CX_1/requisitions/job/16427
"* Executive Coordinator, Multi-Partner Trust Fund Office (MPTFO)",UNDP,D2,"New York, United States","Mar-4-24
",External,https://estm.fa.em2.oraclecloud.com/hcmUI/CandidateExperience/en/sites/CX_1/requisitions/job/16383
Internship – Climate and Environment Team (6 Openings),UNDP,Intern,"Colombo,  SRI LANKA                     ","Mar-5-24
",External,cj_view_job.cfm?cur_job_id=115429
Gender Equality Specialist to the UN Resident Coordinator,UNWomen,P-4,"Libreville,  GABON                         ","Mar-5-24
",External,cj_view_job.cfm?cur_job_id=115498
* Programme Analyst,UNV,NOB,"Caracas, Venezuela","Mar-5-24
",External,https://estm.fa.em2.oraclecloud.com/hcmUI/CandidateExperience/en/sites/CX_1/requisitions/job/16455
* Human Resources and  Knowledge Management Associate,UNDP,G7,"Rabat, Morocco","Mar-5-24
",External,https://estm.fa.em2.oraclecloud.com/hcmUI/CandidateExperience/en/sites/CX_1/requisitions/job/16518
* Project Assistant (Office Based),UNDP,NPSA-4,"Brasilia, Brazil","Mar-5-24
",External,https://estm.fa.em2.oraclecloud.com/hcmUI/CandidateExperience/en/sites/CX_1/requisitions/job/15711
* Associado de Comunicação (Home Based),UNDP,NPSA-7,"Brasilia, Brazil","Mar-5-24
",External,https://estm.fa.em2.oraclecloud.com/hcmUI/CandidateExperience/en/sites/CX_1/requisitions/job/16528
* Regional Portfolio Specialist,UNV,P3,"Amman, Jordan","Mar-5-24
",External,https://estm.fa.em2.oraclecloud.com/hcmUI/CandidateExperience/en/sites/CX_1/requisitions/job/16397
Facilities Project Management Consultant,UNWomen,National Consultant,"New York City,  UNITED STATES OF AMERICA      ","Mar-6-24
",External,cj_view_job.cfm?cur_job_id=115504
* Senior Field Security Specialist,UNDP,P4,Afghanistan,"Mar-6-24
",External,https://estm.fa.em2.oraclecloud.com/hcmUI/CandidateExperience/en/sites/CX_1/requisitions/job/16306
* Human Resources Assistant (Home Based),UNDP,NPSA-4,"Brasilia, Brazil","Mar-6-24
",External,https://estm.fa.em2.oraclecloud.com/hcmUI/CandidateExperience/en/sites/CX_1/requisitions/job/16541
* Associado em Projetos de Educação à Distância (Home Based),UNDP,NPSA-6,"Brasilia, Brazil","Mar-6-24
",External,https://estm.fa.em2.oraclecloud.com/hcmUI/CandidateExperience/en/sites/CX_1/requisitions/job/16548
* Especialista Geral (Office Based),UNDP,NPSA-10,"Brasilia, Brazil","Mar-6-24
",External,https://estm.fa.em2.oraclecloud.com/hcmUI/CandidateExperience/en/sites/CX_1/requisitions/job/16681
* Partnerships and Policy Analyst - IPSA 8,UNDP,IPSA-8,"Bonn, Germany","Mar-6-24
",External,https://estm.fa.em2.oraclecloud.com/hcmUI/CandidateExperience/en/sites/CX_1/requisitions/job/16674
* Assistente Produtor(a) Editorial e Conteúdo (Home Based),UNDP,NPSA-4,"Brasilia, Brazil","Mar-6-24
",External,https://estm.fa.em2.oraclecloud.com/hcmUI/CandidateExperience/en/sites/CX_1/requisitions/job/16549
* Human Resources Analyst (Nationals Only),UNDP,NOA,"Beijing, China","Mar-6-24
",External,https://estm.fa.em2.oraclecloud.com/hcmUI/CandidateExperience/en/sites/CX_1/requisitions/job/16544
* Procurement Analyst,UNDP,NPSA-9,"Kabul, Afghanistan","Mar-7-24
",External,https://estm.fa.em2.oraclecloud.com/hcmUI/CandidateExperience/en/sites/CX_1/requisitions/job/16553
* Associado(a) Tecnico(a) de Direitos Humanos (Home Based),UNDP,NPSA-7,"Brasilia, Brazil","Mar-7-24
",External,https://estm.fa.em2.oraclecloud.com/hcmUI/CandidateExperience/en/sites/CX_1/requisitions/job/16580
* Procurement Associate,UNDP,G7,"Kingston, Jamaica","Mar-7-24
",External,https://estm.fa.em2.oraclecloud.com/hcmUI/CandidateExperience/en/sites/CX_1/requisitions/job/16573
"Country Representative, Myanmar",UNWomen,P-5,"Yangon,  MYANMAR                       ","Mar-8-24
",External,cj_view_job.cfm?cur_job_id=115418
Regional Strategic Planning Specialist,UNWomen,P-4,"Dakar,  SENEGAL                       ","Mar-8-24
",External,cj_view_job.cfm?cur_job_id=115459
Strategic Planning and Coordination Analyst (For nationals of Philippines only),UNWomen,SC-9,"Manila,  PHILIPPINES                   ","Mar-8-24
",External,cj_view_job.cfm?cur_job_id=115480
