Job-Title,Agency,Post-Level,Location,Deadline,Category,Job-Link
* Analyste national.e justice et droits humains,UNDP,NPSA-9,Tunisia,"Mar-8-24
",External,https://estm.fa.em2.oraclecloud.com/hcmUI/CandidateExperience/en/sites/CX_1/requisitions/job/16254
* Analyste d’achats du Portefeuille,UNDP,NPSA-9,Tunisia,"Mar-8-24
",External,https://estm.fa.em2.oraclecloud.com/hcmUI/CandidateExperience/en/sites/CX_1/requisitions/job/16258
* Analyste technique National en appui à l’implantation de la police de proximité,UNDP,NPSA-9,Tunisia,"Mar-8-24
",External,https://estm.fa.em2.oraclecloud.com/hcmUI/CandidateExperience/en/sites/CX_1/requisitions/job/16256
* Project Analyst on Integrity in Local Governance,UNDP,NPSA-8,"Tashkent, Uzbekistan","Mar-8-24
",External,https://estm.fa.em2.oraclecloud.com/hcmUI/CandidateExperience/en/sites/CX_1/requisitions/job/16559
* Special Skills Analyst (SSE) for Public Finance Management (PFM) Secretariat - Security Cluster,UNDP,NPSA-8,"Juba, South Sudan","Mar-8-24
",External,https://estm.fa.em2.oraclecloud.com/hcmUI/CandidateExperience/en/sites/CX_1/requisitions/job/16722
* Specialiste National Principal en Gouvernance du secteur de la sécurité,UNDP,NPSA-10,Tunisia,"Mar-8-24
",External,https://estm.fa.em2.oraclecloud.com/hcmUI/CandidateExperience/en/sites/CX_1/requisitions/job/16005
* Conseiller(ère) Technique Principal(e) (CTP),UNDP,NPSA-11,Tunisia,"Mar-8-24
",External,https://estm.fa.em2.oraclecloud.com/hcmUI/CandidateExperience/en/sites/CX_1/requisitions/job/15917
* Analyste  En Apprentissage,UNDP,NPSA-9,Tunisia,"Mar-8-24
",External,https://estm.fa.em2.oraclecloud.com/hcmUI/CandidateExperience/en/sites/CX_1/requisitions/job/16006
"* Chargé.e de suivi, évaluation et rapportage",UNDP,NPSA-8,Tunisia,"Mar-8-24
",External,https://estm.fa.em2.oraclecloud.com/hcmUI/CandidateExperience/en/sites/CX_1/requisitions/job/15922
* Area Manager,UNDP,NPSA-10,"Zarzis, Tunisia","Mar-8-24
",External,https://estm.fa.em2.oraclecloud.com/hcmUI/CandidateExperience/en/sites/CX_1/requisitions/job/16122
* Project Analyst (Social Cohesion),UNDP,NPSA-9,"Chisinau, Moldova","Mar-11-24
",External,https://estm.fa.em2.oraclecloud.com/hcmUI/CandidateExperience/en/sites/CX_1/requisitions/job/16314
* National Programme Officer SB4 (Anti-Trafficking in Persons and Smuggling of Migrants TIP/SOM),UNDP,SB4,"Algiers, Algeria","Mar-12-24
",External,https://estm.fa.em2.oraclecloud.com/hcmUI/CandidateExperience/en/sites/CX_1/requisitions/job/16612
"* Public Finance for Sustainable Development Trainer & Technical Advisor (Home based with regular travel to the Pacific region, part-time 50%)",UNDP,IPSA-11,"Suva, Fiji","Mar-12-24
",External,https://estm.fa.em2.oraclecloud.com/hcmUI/CandidateExperience/en/sites/CX_1/requisitions/job/16644
* Project Officer Youth and Community Engagement (Duty Station: Gwadar Balochistan/Pakistan),UNDP,NPSA-9,Pakistan,"Mar-12-24
",External,https://estm.fa.em2.oraclecloud.com/hcmUI/CandidateExperience/en/sites/CX_1/requisitions/job/16642
* Training Associate,UNDP,NPSA-7,"Islamabad, Pakistan","Mar-12-24
",External,https://estm.fa.em2.oraclecloud.com/hcmUI/CandidateExperience/en/sites/CX_1/requisitions/job/16637
"* Audit Recommendations & Effectiveness Specialist (Home based with regular travel to the Pacific region, part-time 50%)",UNDP,IPSA-11,"Suva, Fiji","Mar-13-24
",External,https://estm.fa.em2.oraclecloud.com/hcmUI/CandidateExperience/en/sites/CX_1/requisitions/job/16655
